date,team,opponent,home_away
2025-11-24,IND,DET,Home
2025-11-24,DET,IND,Away
2025-11-24,TOR,CLE,Home
2025-11-24,CLE,TOR,Away
2025-11-24,BKN,NY,Home
2025-11-24,NY,BKN,Away
2025-11-24,MIA,DAL,Home
2025-11-24,DAL,MIA,Away
2025-11-24,MEM,DEN,Home
2025-11-24,DEN,MEM,Away
2025-11-24,MIL,POR,Home
2025-11-24,POR,MIL,Away
2025-11-24,NO,CHI,Home
2025-11-24,CHI,NO,Away
2025-11-24,PHX,HOU,Home
2025-11-24,HOU,PHX,Away
2025-11-24,GS,UTAH,Home
2025-11-24,UTAH,GS,Away
2025-11-24,SAC,MIN,Home
2025-11-24,MIN,SAC,Away
2025-11-25,WSH,ATL,Home
2025-11-25,ATL,WSH,Away
2025-11-25,PHI,ORL,Home
2025-11-25,ORL,PHI,Away
2025-11-25,LAL,LAC,Home
2025-11-25,LAC,LAL,Away
2025-11-26,BOS,DET,Home
2025-11-26,DET,BOS,Away
2025-11-26,CHA,NY,Home
2025-11-26,NY,CHA,Away
2025-11-26,MIA,MIL,Home
2025-11-26,MIL,MIA,Away
2025-11-26,TOR,IND,Home
2025-11-26,IND,TOR,Away
2025-11-26,OKC,MIN,Home
2025-11-26,MIN,OKC,Away
2025-11-26,NO,MEM,Home
2025-11-26,MEM,NO,Away
2025-11-26,GS,HOU,Home
2025-11-26,HOU,GS,Away
2025-11-26,POR,SA,Home
2025-11-26,SA,POR,Away
2025-11-26,SAC,PHX,Home
2025-11-26,PHX,SAC,Away
2025-11-28,ATL,CLE,Home
2025-11-28,CLE,ATL,Away
2025-11-28,BKN,PHI,Home
2025-11-28,PHI,BKN,Away
2025-11-28,CHA,CHI,Home
2025-11-28,CHI,CHA,Away
2025-11-28,DET,ORL,Home
2025-11-28,ORL,DET,Away
2025-11-28,IND,WSH,Home
2025-11-28,WSH,IND,Away
2025-11-28,NY,MIL,Home
2025-11-28,MIL,NY,Away
2025-11-28,OKC,PHX,Home
2025-11-28,PHX,OKC,Away
2025-11-28,DEN,SA,Home
2025-11-28,SA,DEN,Away
2025-11-28,UTAH,SAC,Home
2025-11-28,SAC,UTAH,Away
2025-11-28,LAL,DAL,Home
2025-11-28,DAL,LAL,Away
2025-11-28,LAC,MEM,Home
2025-11-28,MEM,LAC,Away
2025-11-29,MIN,BOS,Home
2025-11-29,BOS,MIN,Away
2025-11-29,CHA,TOR,Home
2025-11-29,TOR,CHA,Away
2025-11-29,IND,CHI,Home
2025-11-29,CHI,IND,Away
2025-11-29,MIA,DET,Home
2025-11-29,DET,MIA,Away
2025-11-29,MIL,BKN,Home
2025-11-29,BKN,MIL,Away
2025-11-29,GS,NO,Home
2025-11-29,NO,GS,Away
2025-11-29,PHX,DEN,Home
2025-11-29,DEN,PHX,Away
2025-11-29,LAC,DAL,Home
2025-11-29,DAL,LAC,Away
2025-11-30,UTAH,HOU,Home
2025-11-30,HOU,UTAH,Away
2025-11-30,CLE,BOS,Home
2025-11-30,BOS,CLE,Away
2025-11-30,NY,TOR,Home
2025-11-30,TOR,NY,Away
2025-11-30,PHI,ATL,Home
2025-11-30,ATL,PHI,Away
2025-11-30,POR,OKC,Home
2025-11-30,OKC,POR,Away
2025-11-30,MIN,SA,Home
2025-11-30,SA,MIN,Away
2025-11-30,SAC,MEM,Home
2025-11-30,MEM,SAC,Away
2025-11-30,LAL,NO,Home
2025-11-30,NO,LAL,Away
